,start,start_ms,end,end_ms,file,volume,text
0,00:00:00.000,0,00:00:02.129,2129,chunk1.wav,15153,[Music]
1,00:00:00.230,230,00:00:03.310,3310,chunk2.wav,15153,thirty years ago today klas aired a live
2,00:00:04.259,4259,00:00:06.344,6344,chunk3.wav,15001,interview with an anonymous man who made
3,00:00:06.390,6390,00:00:08.295,8295,chunk4.wav,14050,some really astonishing claims he
4,00:00:08.429,8429,00:00:10.499,10499,chunk5.wav,16633,alleged that the US military was
5,00:00:10.200,10200,00:00:12.465,12465,chunk6.wav,19472,secretly studying alien technology out
6,00:00:12.570,12570,00:00:14.400,14400,chunk7.wav,15594,of the Nevada desert near a base that is
7,00:00:14.730,14730,00:00:17.084,17084,chunk8.wav,15444,now very well known all over the world
8,00:00:16.230,16230,00:00:19.305,19305,chunk9.wav,14015,area 51 a lot has changed in the decades
9,00:00:19.439,19439,00:00:21.869,21869,chunk10.wav,13277,since Bob Lazar first told this wild
10,00:00:22.380,22380,00:00:24.195,24195,chunk11.wav,12404,story the Pentagon recently admitted
11,00:00:24.300,24300,00:00:26.249,26249,chunk12.wav,12214,that it really has been secretly
12,00:00:26.010,26010,00:00:28.290,28290,chunk13.wav,11410,studying UFOs and then it wanted to
13,00:00:28.199,28199,00:00:30.779,30779,chunk14.wav,13322,figure out and duplicate that technology
14,00:00:30.570,30570,00:00:32.685,32685,chunk15.wav,16464,George Knapp looks back at that 1989
15,00:00:33.360,33360,00:00:35.905,35905,chunk16.wav,14823,interview that started a whole new
16,00:00:34.800,34800,00:00:38.339,38339,chunk17.wav,12879,conversation it's totally impossible
17,00:00:38.450,38450,00:00:41.139,41139,chunk18.wav,12395,the propulsion system is in a gravity
18,00:00:41.879,41879,00:00:44.144,44144,chunk19.wav,12340,propulsion system the power source is an
19,00:00:43.829,43829,00:00:46.364,46364,chunk20.wav,10757,antimatter reactor this technology does
20,00:00:46.410,46410,00:00:49.005,49005,chunk21.wav,14456,not exist at all the claims sounded like
21,00:00:48.899,48899,00:00:51.599,51599,chunk22.wav,13291,Hollywood sci-fi months later when his
22,00:00:51.600,51600,00:00:54.044,54044,chunk23.wav,12830,identity was revealed Bob Lazar said he
23,00:00:54.300,54300,00:00:56.550,56550,chunk24.wav,13249,worked at a secret facility near Groom
24,00:00:56.489,56489,00:00:59.039,59039,chunk25.wav,14231,Lake where alien technology was being
25,00:00:58.800,58800,00:01:01.365,61365,chunk26.wav,12574,reverse engineered that is taken apart
26,00:01:01.590,61590,00:01:03.990,63990,chunk27.wav,14522,to figure out how it worked and whether
27,00:01:03.930,63930,00:01:06.149,66149,chunk28.wav,13971,the Pentagon could duplicate it this is
28,00:01:06.390,66390,00:01:08.504,68504,chunk29.wav,12555,the simple drawing he made at the time
29,00:01:08.369,68369,00:01:11.004,71004,chunk30.wav,15560,here and I had access and was permitted
30,00:01:10.619,70619,00:01:13.379,73379,chunk31.wav,14294,to view and look at the operation of
31,00:01:13.640,73640,00:01:16.360,76360,chunk32.wav,12110,this main level with the gravity
32,00:01:16.140,76140,00:01:18.930,78930,chunk33.wav,12268,amplifiers and a level below the premise
33,00:01:19.080,79080,00:01:21.705,81705,chunk34.wav,14080,seems less preposterous now in a new
34,00:01:21.720,81720,00:01:24.360,84360,chunk35.wav,14198,documentary about Lazar he describes in
35,00:01:24.330,84330,00:01:27.390,87390,chunk36.wav,13607,detail the spacecraft he worked on 30
36,00:01:27.000,87000,00:01:29.789,89789,chunk37.wav,13852,years ago the craft that I worked on
37,00:01:30.450,90450,00:01:32.700,92700,chunk38.wav,16703,that when it's when it's going to travel
38,00:01:32.579,92579,00:01:35.159,95159,chunk39.wav,16514,a long distance that is how it operates
39,00:01:34.950,94950,00:01:38.205,98205,chunk40.wav,13377,it flies along and it it puts its belly
40,00:01:37.740,97740,00:01:40.635,100635,chunk41.wav,14351,to the target and then brings all the
41,00:01:41.460,101460,00:01:43.379,103379,chunk42.wav,10903,amplifiers to power in you know it
42,00:01:43.530,103530,00:01:45.164,105164,chunk43.wav,12655,shoots off in that direction it doesn't
43,00:01:45.299,105299,00:01:47.189,107189,chunk44.wav,12876,fly as it would in the science fiction
44,00:01:46.799,106799,00:01:49.154,109154,chunk45.wav,12737,movies it flies with the belly the
45,00:01:49.079,109079,00:01:52.029,112029,chunk46.wav,15195,bottom forward if the description of a
46,00:01:51.509,111509,00:01:54.899,114899,chunk47.wav,15694,spacecraft tilting sounds familiar
47,00:01:54.979,114979,00:01:58.419,118419,chunk48.wav,14862,take a look at the so called gimbal UFO
48,00:01:58.290,118290,00:02:01.440,121440,chunk49.wav,13497,a video released by the Pentagon in 2017
49,00:02:01.860,121860,00:02:04.320,124320,chunk50.wav,13430,naval pilots encountered a fleet of
50,00:02:04.590,124590,00:02:07.005,127005,chunk51.wav,14118,these unknown craft off the coast of
51,00:02:06.780,126780,00:02:09.494,129494,chunk52.wav,13169,Florida in 2015 and have since had
52,00:02:09.420,129420,00:02:11.580,131580,chunk53.wav,12554,dozens of similar encounters the spike
53,00:02:12.209,132209,00:02:14.069,134069,chunk54.wav,12355,in UFO incidents
54,00:02:13.740,133740,00:02:15.765,135765,chunk55.wav,12990,prompted a recent policy change by the
