,start,start_ms,end,end_ms,file,volume,text
0,00:00:00.440,440,00:00:01.600,1600,chunk1.wav,32767,[Music]
1,00:00:04.720,4720,00:00:12.079,12079,chunk2.wav,32767,so
2,00:00:06.900,6900,00:00:14.669,14669,chunk3.wav,32767,[Music]
3,00:00:19.439,19439,00:00:20.939,20939,chunk4.wav,32767,so
4,00:00:23.400,23400,00:00:31.439,31439,chunk5.wav,32767,[Music]
5,00:00:39.770,39770,00:00:44.290,44290,chunk6.wav,32765,[Applause]
6,00:00:40.410,40410,00:00:45.645,45645,chunk7.wav,32765,[Music]
7,00:00:48.810,48810,00:00:51.519,51519,chunk8.wav,10470,[Applause]
8,00:00:50.880,50880,00:00:52.554,52554,chunk9.wav,32767,[Music]
9,00:00:54.399,54399,00:00:56.079,56079,chunk10.wav,32767,hey this is redmond coming to you live
10,00:00:55.760,55760,00:00:57.880,57880,chunk11.wav,32767,from vulcan gas company here in austin
11,00:00:57.760,57760,00:01:00.680,60680,chunk12.wav,32767,texas for a brand new episode of kell
12,00:01:00.000,60000,00:01:02.710,62710,chunk13.wav,32767,tony here's tony edgeclaff
13,00:01:03.600,63600,00:01:04.970,64970,chunk14.wav,32767,you can't see him
14,00:01:05.420,65420,00:01:06.910,66910,chunk15.wav,23851,[Applause]
15,00:01:06.340,66340,00:01:08.090,68090,chunk16.wav,23851,[Music]
16,00:01:08.400,68400,00:01:11.120,71120,chunk17.wav,32767,you guys ready for the best night of
17,00:01:09.840,69840,00:01:11.840,71840,chunk18.wav,32767,your [ __ ] lives or what
18,00:01:13.970,73970,00:01:16.864,76864,chunk19.wav,24951,[Music]
19,00:01:17.360,77360,00:01:18.559,78559,chunk20.wav,32687,yeah
20,00:01:19.920,79920,00:01:21.880,81880,chunk21.wav,30790,[ __ ] did we blow out the lights is
21,00:01:21.840,81840,00:01:24.200,84200,chunk22.wav,32750,that what happened
22,00:01:23.840,83840,00:01:27.200,87200,chunk23.wav,30316,holy [ __ ] you guys ready to do the best
23,00:01:26.560,86560,00:01:29.120,89120,chunk24.wav,32767,goddamn podcast the dark has ever seen
24,00:01:30.560,90560,00:01:32.519,92519,chunk25.wav,32767,oh
25,00:01:31.680,91680,00:01:34.520,94520,chunk26.wav,32767,my goodness
26,00:01:34.479,94479,00:01:36.719,96719,chunk27.wav,32626,tonight we make history welcome to kill
27,00:01:37.360,97360,00:01:39.160,99160,chunk28.wav,31635,tony brought to you by the red rose and
28,00:01:38.960,98960,00:01:40.559,100559,chunk29.wav,29678,the yellow rose the two best strip clubs
29,00:01:40.960,100960,00:01:42.800,102800,chunk30.wav,30733,in the world
30,00:01:42.159,102159,00:01:44.759,104759,chunk31.wav,31370,are here in austin texas proud
31,00:01:44.640,104640,00:01:48.039,108039,chunk32.wav,29017,supporters of the show also austin
32,00:01:47.360,107360,00:01:50.600,110600,chunk33.wav,31224,legends deep eddie vodka
33,00:01:51.439,111439,00:01:53.759,113759,chunk34.wav,30707,we love them they are the very best
34,00:01:53.840,113840,00:01:56.479,116479,chunk35.wav,29158,vodka in the world also they happen to
