,start,start_ms,end,end_ms,file,volume,text
0,00:00:00.840,840,00:00:04.170,4170,chunk1.wav,16715,oh hello Columbus Ohio September 8th I'm
1,00:00:05.339,5339,00:00:07.409,7409,chunk2.wav,14144,at the speaker Joanne Davidson theater
2,00:00:07.500,7500,00:00:09.720,9720,chunk3.wav,11496,tickets available now at Tony
3,00:00:09.480,9480,00:00:11.550,11550,chunk4.wav,7405,hinchcliff.com
4,00:00:11.940,11940,00:00:14.039,14039,chunk5.wav,23241,I'm Gonna Be Live on America's Got
5,00:00:13.620,13620,00:00:15.930,15930,chunk6.wav,21788,Talent on August 29th please come vote
6,00:00:16.139,16139,00:00:18.479,18479,chunk7.wav,21686,I'm going against literal rock stars
7,00:00:18.240,18240,00:00:20.280,20280,chunk8.wav,19605,with nothing but a phone and thumb also
8,00:00:20.820,20820,00:00:22.620,22620,chunk9.wav,23522,I found a lawyer who isn't a Harvard
9,00:00:22.320,22320,00:00:24.330,24330,chunk10.wav,21375,cook and I am officially announcing the
10,00:00:24.420,24420,00:00:26.309,26309,chunk11.wav,22124,first show of my U.S tour at off the
11,00:00:26.340,26340,00:00:28.805,28805,chunk12.wav,18022,hook comedy club in Naples more
12,00:00:28.199,28199,00:00:33.489,33489,chunk13.wav,27345,information will be on newcomedian.com
13,00:00:31.270,31270,00:00:35.025,35025,chunk14.wav,28851,[Music]
14,00:00:43.559,43559,00:00:44.829,44829,chunk15.wav,32598,thank you
15,00:00:49.670,49670,00:00:53.610,53610,chunk16.wav,28950,[Music]
16,00:00:55.630,55630,00:01:01.105,61105,chunk17.wav,32767,[Applause]
17,00:00:57.550,57550,00:01:02.065,62065,chunk18.wav,32767,[Music]
18,00:01:08.960,68960,00:01:11.050,71050,chunk19.wav,32767,hey this is Redman coming to you live
19,00:01:11.340,71340,00:01:13.620,73620,chunk20.wav,32767,from the beautiful comedy Mothership
20,00:01:13.140,73140,00:01:15.809,75809,chunk21.wav,32767,here in Austin Texas for a brand new
21,00:01:15.900,75900,00:01:18.630,78630,chunk22.wav,32767,episode of kill Tony get up for Tony
22,00:01:18.479,78479,00:01:21.009,81009,chunk23.wav,31915,it's clear
23,00:01:21.360,81360,00:01:22.450,82450,chunk24.wav,29939,foreign
24,00:01:23.939,83939,00:01:26.499,86499,chunk25.wav,32767,Make Some Noise if you're ready for the
25,00:01:25.560,85560,00:01:27.310,87310,chunk26.wav,32767,best [ __ ] Monday night of your life
26,00:01:29.570,89570,00:01:32.184,92184,chunk27.wav,32767,[Applause]
27,00:01:32.400,92400,00:01:34.470,94470,chunk28.wav,32767,six months for Red Band everybody hey
28,00:01:34.799,94799,00:01:36.659,96659,chunk29.wav,32767,we've been doing this for a long time
29,00:01:36.540,96540,00:01:38.460,98460,chunk30.wav,32179,it's the number one live podcast in the
