,start,start_ms,end,end_ms,file,volume,text
0,00:00:00.160,160,00:00:01.414,1414,chunk1.wav,13793,[Music]
1,00:00:03.199,3199,00:00:05.319,5319,chunk2.wav,32767,who's ready to start the best episode to
2,00:00:05.240,5240,00:00:08.140,8140,chunk3.wav,32523,kill Tony of all
3,00:00:07.440,7440,00:00:12.560,12560,chunk4.wav,32767,time ladies and gentlemen introducing
4,00:00:11.040,11040,00:00:17.300,17300,chunk5.wav,32767,Shane Gillis Jo Rogan Andrew sh stve H
5,00:00:17.680,17680,00:00:21.740,21740,chunk6.wav,32767,Jeff what in the ball [ __ ] Joey
6,00:00:23.560,23560,00:00:26.240,26240,chunk7.wav,32767,BS I want to see you do Coke and open
7,00:00:25.800,25800,00:00:28.459,28459,chunk8.wav,32767,those eyes up I owe you a [ __ ] I
8,00:00:28.920,28920,00:00:30.760,30760,chunk9.wav,32767,don't care I'm going to do it we got
9,00:00:31.119,31119,00:00:33.274,33274,chunk10.wav,32767,pizza it's
10,00:00:32.600,32600,00:00:34.735,34735,chunk11.wav,32767,delicious USA
11,00:00:35.430,35430,00:00:37.734,37734,chunk12.wav,32767,[Music]
12,00:00:36.870,36870,00:00:40.695,40695,chunk13.wav,32587,[Applause]
13,00:00:40.039,40039,00:00:42.279,42279,chunk14.wav,32767,USA is it possible to eat it with our
14,00:00:45.120,45120,00:00:47.299,47299,chunk15.wav,32767,[Applause]
15,00:00:45.580,45580,00:00:47.529,47529,chunk16.wav,32767,[Music]
16,00:00:50.350,50350,00:00:52.690,52690,chunk17.wav,32767,[Applause]
17,00:00:51.559,51559,00:00:56.084,56084,chunk18.wav,32767,butt what are you going to do now
18,00:00:55.030,55030,00:00:57.819,57819,chunk19.wav,25685,[Applause]
19,00:01:05.810,65810,00:01:08.630,68630,chunk20.wav,27201,[Music]
20,00:01:10.940,70940,00:01:15.385,75385,chunk21.wav,24711,[Applause]
21,00:01:11.450,71450,00:01:17.185,77185,chunk22.wav,27332,[Music]
22,00:01:19.830,79830,00:01:21.375,81375,chunk23.wav,10030,[Applause]
23,00:01:23.479,83479,00:01:25.239,85239,chunk24.wav,32767,do to do
24,00:01:30.100,90100,00:01:32.360,92360,chunk25.wav,9840,[Music]
25,00:01:31.270,91270,00:01:36.839,96839,chunk26.wav,7816,[Applause]
26,00:01:34.620,94620,00:01:38.514,98514,chunk27.wav,7816,[Music]
27,00:01:44.520,104520,00:01:46.600,106600,chunk28.wav,17273,hey this is rman coming you light from
28,00:01:46.119,106119,00:01:48.459,108459,chunk29.wav,18296,the comedy Mothership here in Austin
29,00:01:48.680,108680,00:01:52.079,112079,chunk30.wav,17773,Texas for a brand new episode of kill
30,00:01:50.799,110799,00:01:53.139,113139,chunk31.wav,18367,Tony give it up for Tony it's
31,00:01:57.350,117350,00:01:59.144,119144,chunk32.wav,21639,[Applause]
32,00:01:57.830,117830,00:01:59.384,119384,chunk33.wav,21639,[Music]
33,00:02:02.159,122159,00:02:03.719,123719,chunk34.wav,23212,who's ready for the best [ __ ] night
34,00:02:03.799,123799,00:02:06.074,126074,chunk35.wav,23029,of their lives tonight
35,00:02:05.280,125280,00:02:06.814,126814,chunk36.wav,23029,[Music]
36,00:02:09.879,129879,00:02:13.499,133499,chunk37.wav,23257,huh
37,00:02:12.760,132760,00:02:15.900,135900,chunk38.wav,23584,yumy and here we go it is indeed the
38,00:02:17.120,137120,00:02:18.700,138700,chunk39.wav,19991,number one live podcast in the world how
39,00:02:19.040,139040,00:02:20.800,140800,chunk40.wav,18320,you guys doing
40,00:02:20.280,140280,00:02:22.720,142720,chunk41.wav,18788,tonight this is kill Tony brought to you
41,00:02:22.560,142560,00:02:24.860,144860,chunk42.wav,20885,by expressvpn and Shopify how about a
42,00:02:25.160,145160,00:02:27.140,147140,chunk43.wav,21857,hand for Red Band
43,00:02:27.160,147160,00:02:30.260,150260,chunk44.wav,24277,everybody and how about one more time
44,00:02:29.120,149120,00:02:32.140,152140,chunk45.wav,22366,for the best Dan band in the land wow
45,00:02:33.360,153360,00:02:35.680,155680,chunk46.wav,23157,joining us on the violin that's
46,00:02:35.160,155160,00:02:38.120,158120,chunk47.wav,19299,Christina steel ladies and
47,00:02:38.000,158000,00:02:40.979,160979,chunk48.wav,16773,gentlemen Nick Roth house on extra
48,00:02:41.080,161080,00:02:43.900,163900,chunk49.wav,22124,percussions that's the great Michael
49,00:02:43.959,163959,00:02:47.019,167019,chunk50.wav,22858,Gonzalez Matt muing on the electric
50,00:02:46.720,166720,00:02:50.700,170700,chunk51.wav,20559,guitar as always John D on the keys and
51,00:02:50.080,170080,00:02:53.699,173699,chunk52.wav,23304,of course D Madness on the bass guitar
52,00:02:54.680,174680,00:02:56.660,176660,chunk53.wav,15499,tonight huge show planned for you before
53,00:02:57.319,177319,00:02:58.799,178799,chunk54.wav,16638,we get started here's a little bit more
54,00:02:58.640,178640,00:03:00.600,180600,chunk55.wav,13714,from The Amazing sponsors that made it
55,00:03:00.280,180280,00:03:01.420,181420,chunk56.wav,13517,all
56,00:03:04.080,184080,00:03:07.040,187040,chunk57.wav,25838,possible the Sunset Strip comedy club in
57,00:03:06.959,186959,00:03:09.919,189919,chunk58.wav,23688,Austin Texas is now open check out Red
58,00:03:10.000,190000,00:03:12.950,192950,chunk59.wav,24089,Band Secret show every Thursday go to
59,00:03:12.879,192879,00:03:16.859,196859,chunk60.wav,17432,sunsetstrip atx.com for
60,00:03:15.900,195900,00:03:19.310,199310,chunk61.wav,19392,[Music]
61,00:03:20.840,200840,00:03:23.020,203020,chunk62.wav,17890,tickets you guys ready to start
62,00:03:22.720,202720,00:03:23.960,203960,chunk63.wav,15472,tonight's
63,00:03:25.440,205440,00:03:28.080,208080,chunk64.wav,16972,episode you know I just love this show
64,00:03:28.840,208840,00:03:31.120,211120,chunk65.wav,12175,because you never know what kind of a
65,00:03:30.720,210720,00:03:33.820,213820,chunk66.wav,10003,Melting Pot of guests you're going to
66,00:03:33.400,213400,00:03:37.020,217020,chunk67.wav,12458,get tonight is just a perfect little
67,00:03:36.920,216920,00:03:40.100,220100,chunk68.wav,20808,stew three unbelievably entertaining
68,00:03:40.640,220640,00:03:44.020,224020,chunk69.wav,16432,human beings ladies and gentlemen your
69,00:03:43.280,223280,00:03:47.000,227000,chunk70.wav,21680,guests tonight are Jordan Peterson Tyler
70,00:03:47.400,227400,00:03:49.060,229060,chunk71.wav,22361,fiser and Kim
71,00:03:51.599,231599,00:03:54.539,234539,chunk72.wav,22915,kic oh my God Jordan Peterson
72,00:04:00.519,240519,00:04:02.719,242719,chunk73.wav,22749,Tyler Fisher Kim
73,00:04:06.640,246640,00:04:09.420,249420,chunk74.wav,24050,conden Make some noise for our guest
74,00:04:10.570,250570,00:04:12.965,252965,chunk75.wav,23053,[Applause]
