,start,start_ms,end,end_ms,file,volume,text
0,00:00:01.360,1360,00:00:04.059,4059,chunk1.wav,21762,hey y'all it is a super duper digital
1,00:00:04.400,4400,00:00:07.240,7240,chunk2.wav,21691,event like nothing we've ever done
2,00:00:06.759,6759,00:00:09.959,9959,chunk3.wav,24685,before a two night experience unlike
3,00:00:10.080,10080,00:00:13.179,13179,chunk4.wav,25071,anything in killtony history go to
4,00:00:13.160,13160,00:00:15.799,15799,chunk5.wav,28125,killtony live.com and get your live
5,00:00:16.279,16279,00:00:19.039,19039,chunk6.wav,27308,streaming tickets for the two Arena
6,00:00:18.439,18439,00:00:21.639,21639,chunk7.wav,24663,shows so much insanity is going to
7,00:00:21.800,21800,00:00:24.400,24400,chunk8.wav,25788,happen as always I always keep the guest
8,00:00:24.840,24840,00:00:27.400,27400,chunk9.wav,22267,and anything that I have up my sleeve a
9,00:00:27.000,27000,00:00:29.139,29139,chunk10.wav,27432,complete surprise for you but if I told
10,00:00:29.960,29960,00:00:32.599,32599,chunk11.wav,22284,told you what was going to happen on
11,00:00:31.279,31279,00:00:34.219,34219,chunk12.wav,22284,these two nights you would be pumped and
12,00:00:35.239,35239,00:00:37.999,37999,chunk13.wav,28449,plus you already know all your favorite
13,00:00:37.160,37160,00:00:40.920,40920,chunk14.wav,24479,regulars and of course Rick Diaz versus
14,00:00:40.760,40760,00:00:44.499,44499,chunk15.wav,24573,Hans Kim for Eternal regular ship on the
15,00:00:44.680,44680,00:00:47.820,47820,chunk16.wav,22095,show a battle of two absolute autistic
16,00:00:48.239,48239,00:00:50.679,50679,chunk17.wav,25197,Titans who knows what can happen a lot
17,00:00:50.960,50960,00:00:52.999,52999,chunk18.wav,21931,of special treats a lot of special
18,00:00:53.120,53120,00:00:55.099,55099,chunk19.wav,22971,guests it's going to be like the 10year
19,00:00:55.039,55039,00:00:57.639,57639,chunk20.wav,24146,anniversary show but on absolute
20,00:00:57.079,57079,00:00:59.479,59479,chunk21.wav,27499,steroids super pumped get tickets now
21,00:01:00.239,60239,00:01:02.199,62199,chunk22.wav,23204,and support your favorite show in the
22,00:01:01.879,61879,00:01:04.139,64139,chunk23.wav,21557,world the number one live podcast
23,00:01:04.159,64159,00:01:06.199,66199,chunk24.wav,25969,started with 14 people in a tiny little
24,00:01:06.400,66400,00:01:08.700,68700,chunk25.wav,25530,room now we're going global that's
25,00:01:08.240,68240,00:01:10.820,70820,chunk26.wav,25530,killtony live.com for the amazing two
26,00:01:11.000,71000,00:01:12.940,72940,chunk27.wav,30973,night event December 30th and 31st
27,00:01:13.400,73400,00:01:15.279,75279,chunk28.wav,22217,you're going to be sick of your family
28,00:01:14.880,74880,00:01:17.760,77760,chunk29.wav,23249,have some laughs enjoy two nights of
29,00:01:17.159,77159,00:01:19.639,79639,chunk30.wav,21482,kill Tony live Anything Can Happen
30,00:01:20.640,80640,00:01:24.740,84740,chunk31.wav,32767,killtony
31,00:01:22.120,82120,00:01:26.980,86980,chunk32.wav,32767,[Music]
32,00:01:28.840,88840,00:01:30.340,90340,chunk33.wav,32578,live.com
33,00:01:32.170,92170,00:01:40.445,100445,chunk34.wav,32767,[Music]
34,00:01:53.870,113870,00:01:55.424,115424,chunk35.wav,32767,[Music]
35,00:01:58.840,118840,00:02:00.340,120340,chunk36.wav,32767,oh
36,00:02:04.070,124070,00:02:06.645,126645,chunk37.wav,32767,[Music]
37,00:02:06.160,126160,00:02:07.690,127690,chunk38.wav,32767,[Applause]
38,00:02:11.000,131000,00:02:12.549,132549,chunk39.wav,32767,[Music]
39,00:02:14.200,134200,00:02:16.079,136079,chunk40.wav,32767,hey this is red coming to you live from
40,00:02:15.800,135800,00:02:17.940,137940,chunk41.wav,32767,the comedy Mothership here in Austin
41,00:02:17.959,137959,00:02:21.099,141099,chunk42.wav,32767,Texas for a brand new episode of kill
42,00:02:20.080,140080,00:02:22.159,142159,chunk43.wav,32767,Tony give it up for Tony hitch
43,00:02:28.760,148760,00:02:30.740,150740,chunk44.wav,32767,CL
44,00:02:30.380,150380,00:02:32.250,152250,chunk45.wav,32767,[Applause]
45,00:02:32.720,152720,00:02:34.839,154839,chunk46.wav,32767,who's ready for the best [ __ ] night
46,00:02:34.120,154120,00:02:35.539,155539,chunk47.wav,32767,of their lives
47,00:02:39.920,159920,00:02:43.259,163259,chunk48.wav,32767,huh Make some noise for a red band
48,00:02:43.760,163760,00:02:46.260,166260,chunk49.wav,32767,everybody you did it you all win here at
49,00:02:46.599,166599,00:02:48.699,168699,chunk50.wav,32767,the number one live podcast in the world
50,00:02:48.760,168760,00:02:51.400,171400,chunk51.wav,32767,kill Tony brought to you by gel Blaster
51,00:02:50.800,170800,00:02:53.839,173839,chunk52.wav,32767,the red rose Yellow Rose Hull law firm
52,00:02:54.040,174040,00:02:56.639,176639,chunk53.wav,32767,uh ninj partybus outcom where you can
53,00:02:56.879,176879,00:02:59.179,179179,chunk54.wav,32767,now get shuttles for the uh December
54,00:02:59.239,179239,00:03:01.419,181419,chunk55.wav,32767,30th and 31st shows at the HB Center
55,00:03:01.480,181480,00:03:04.179,184179,chunk56.wav,32767,sold out Arenas that we're doing no big
56,00:03:03.599,183599,00:03:06.379,186379,chunk57.wav,32767,deal Austin security guard Service uh
57,00:03:06.879,186879,00:03:09.179,189179,chunk58.wav,32767,kill merch.com and Connect Mobile
58,00:03:09.159,189159,00:03:11.119,191119,chunk59.wav,32767,health.com which you can get IV drips
59,00:03:11.480,191480,00:03:13.760,193760,chunk60.wav,32767,look at that freshy right there we all
60,00:03:13.080,193080,00:03:15.920,195920,chunk61.wav,32767,had the mothership Christmas party uh
61,00:03:16.040,196040,00:03:18.520,198520,chunk62.wav,32767,this week and full recovery thanks to
62,00:03:18.760,198760,00:03:21.639,201639,chunk63.wav,32767,connect mobile health.com get an IB drip
63,00:03:21.000,201000,00:03:24.600,204600,chunk64.wav,32767,use the promo code kill5 save
64,00:03:24.519,204519,00:03:28.379,208379,chunk65.wav,32767,15% how about a hand for the band
65,00:03:28.200,208200,00:03:31.880,211880,chunk66.wav,32767,everybody Michael alz on the drums Paul
66,00:03:32.239,212239,00:03:35.899,215899,chunk67.wav,32767,demer on the horns Matt muing on the
67,00:03:35.560,215560,00:03:38.660,218660,chunk68.wav,32767,electric guitar John de on the keys and
68,00:03:39.560,219560,00:03:41.800,221800,chunk69.wav,32767,this is our good friend D Madness on the
69,00:03:41.760,221760,00:03:44.639,224639,chunk70.wav,32767,bass guitar
70,00:03:44.040,224040,00:03:46.419,226419,chunk71.wav,32767,everybody fun show ahead before we get
71,00:03:47.519,227519,00:03:48.999,228999,chunk72.wav,32767,started here's a little bit more from
72,00:03:48.799,228799,00:03:51.579,231579,chunk73.wav,32767,The Amazing sponsors that made tonight's
73,00:03:50.480,230480,00:03:52.420,232420,chunk74.wav,32767,episode available for you here right
74,00:03:58.680,238680,00:04:00.180,240180,chunk75.wav,32385,now
75,00:04:01.940,241940,00:04:08.019,248019,chunk76.wav,32767,[Music]
76,00:04:15.879,255879,00:04:18.299,258299,chunk77.wav,20591,ninj partybus tocom where you can
77,00:04:18.160,258160,00:04:21.300,261300,chunk78.wav,22654,reserve your ride to the arena on the
78,00:04:20.720,260720,00:04:23.840,263840,chunk79.wav,26006,30th and 31st soldout shows in Austin
79,00:04:24.440,264440,00:04:27.160,267160,chunk80.wav,23347,Texas for this show how about that do an
80,00:04:26.960,266960,00:04:29.240,269240,chunk81.wav,24695,arena it's pretty cool right hey y'all
81,00:04:29.880,269880,00:04:32.140,272140,chunk82.wav,21371,this episode of kill Tony is brought to
82,00:04:31.520,271520,00:04:33.840,273840,chunk83.wav,21931,you by ziix toothpicks ziix brings you a
83,00:04:34.400,274400,00:04:36.280,276280,chunk84.wav,19781,totally satisfying convenient and
84,00:04:36.160,276160,00:04:38.500,278500,chunk85.wav,19576,flavorful way to curb Cravings get a
85,00:04:38.160,278160,00:04:41.120,281120,chunk86.wav,19837,boost of energy or simply relax at the
86,00:04:40.840,280840,00:04:43.659,283659,chunk87.wav,19793,end of your day I absolutely love these
87,00:04:44.080,284080,00:04:46.480,286480,chunk88.wav,20680,things use them on the airplane all the
88,00:04:46.479,286479,00:04:48.619,288619,chunk89.wav,18893,time and anywhere else where I can't
89,00:04:48.880,288880,00:04:50.600,290600,chunk90.wav,19778,smoke cigarettes I mean you guys know
90,00:04:50.759,290759,00:04:52.759,292759,chunk91.wav,19696,what it is remember when massive Vape
91,00:04:52.320,292320,00:04:54.640,294640,chunk92.wav,21194,clouds astrays and dip spit were awesome
92,00:04:54.759,294759,00:04:56.419,296419,chunk93.wav,18968,now there's an easier cheaper less messy
93,00:04:56.960,296960,00:04:58.460,298460,chunk94.wav,20692,and more subtle way to curb your
94,00:04:58.080,298080,00:04:59.660,299660,chunk95.wav,19361,Cravings with ziix toothpick the best
95,00:04:59.960,299960,00:05:01.719,301719,chunk96.wav,18974,part about ziix is that you really can
96,00:05:01.240,301240,00:05:03.219,303219,chunk97.wav,18566,use them anywhere with 2 migs per pick
97,00:05:03.479,303479,00:05:05.179,305179,chunk98.wav,19584,and some 3 milligram options ziix
98,00:05:05.199,305199,00:05:06.999,306999,chunk99.wav,21317,toothpicks are longlasting extremely
99,00:05:06.880,306880,00:05:09.240,309240,chunk100.wav,20020,affordable and available in six
100,00:05:08.800,308800,00:05:11.380,311380,chunk101.wav,19327,delicious flavor choices red band you
101,00:05:11.600,311600,00:05:13.899,313899,chunk102.wav,22304,know I've been subscribed to ziix for
102,00:05:13.960,313960,00:05:16.400,316400,chunk103.wav,20876,over a year like two years before they
103,00:05:16.199,316199,00:05:18.739,318739,chunk104.wav,19237,became a sponsor I've been using ziix
104,00:05:18.840,318840,00:05:21.360,321360,chunk105.wav,18951,they are amazing because I love you know
105,00:05:21.280,321280,00:05:23.920,323920,chunk106.wav,18997,I I suck my thumb still I love boobs and
106,00:05:23.880,323880,00:05:26.120,326120,chunk107.wav,20035,it's a part of the oral gratification
107,00:05:26.560,326560,00:05:28.780,328780,chunk108.wav,18758,that my mom somehow transferred to my
108,00:05:28.360,328360,00:05:30.760,330760,chunk109.wav,19897,brain and it's aming amazing sucking on
109,00:05:31.000,331000,00:05:33.560,333560,chunk110.wav,22769,these toothpicks with flavors that keep
110,00:05:33.160,333160,00:05:36.220,336220,chunk111.wav,21124,me coming back to ziix also if you need
111,00:05:36.120,336120,00:05:38.879,338879,chunk112.wav,19057,a boost of energy try their zip energy
112,00:05:39.280,339280,00:05:41.320,341320,chunk113.wav,19813,B12 and caffeine toothpicks no doubt
113,00:05:41.639,341639,00:05:43.239,343239,chunk114.wav,19786,about it you guys have seen us use ziix
114,00:05:43.360,343360,00:05:45.320,345320,chunk115.wav,19610,on the podcast now it's time to find out
115,00:05:44.840,344840,00:05:47.180,347180,chunk116.wav,18812,for yourself go to ziix topi.com today
116,00:05:47.280,347280,00:05:49.780,349780,chunk117.wav,18970,and use code kill tony10 to get 10% off
117,00:05:49.520,349520,00:05:52.100,352100,chunk118.wav,19098,your order that's ziix topi.com promo
118,00:05:52.280,352280,00:05:55.379,355379,chunk119.wav,19657,code kill tony10 must be 21 or older to
119,00:05:54.680,354680,00:05:57.600,357600,chunk120.wav,26128,purchase zip more smoke less with ziix
120,00:05:58.479,358479,00:06:00.079,360079,chunk121.wav,20858,toothpicks hey y'all if you need a
121,00:06:00.520,360520,00:06:02.020,362020,chunk122.wav,19051,little something to get you through the
122,00:06:01.680,361680,00:06:03.340,363340,chunk123.wav,19259,holiday season then listen up freeze
123,00:06:03.520,363520,00:06:05.400,365400,chunk124.wav,18783,pipe has you covered with freezable
124,00:06:05.000,365000,00:06:06.980,366980,chunk125.wav,19021,pieces that cool down clouds by over 300
