,start,start_ms,end,end_ms,file,volume,text
0,00:00:00.500,500,00:00:01.500,1500,chunk1.wav,14398,[Intro swoosh]
1,00:00:02.500,2500,00:00:03.100,3100,chunk2.wav,4707,Gavin: Alright so
2,00:00:03.700,3700,00:00:04.100,4100,chunk3.wav,10020,Jack: Hey Let's Play.
3,00:00:04.500,4500,00:00:05.000,5000,chunk4.wav,5142,Gavin: We're doing Let's Play
4,00:00:05.500,5500,00:00:06.150,6150,chunk5.wav,20851,Geoff: So I guess we would call this Part 3
5,00:00:06.800,6800,00:00:07.700,7700,chunk6.wav,12373,Geoff: of our Minecraft Let's Plays Gavin: Yep.
6,00:00:08.600,8600,00:00:08.850,8850,chunk7.wav,13109,Geoff: People keep asking
7,00:00:09.100,9100,00:00:10.050,10050,chunk8.wav,25844,Geoff: Gavin and I exhaustively spent about the last
8,00:00:11.000,11000,00:00:11.950,11950,chunk9.wav,17097,"oh I don't know, over the weekend"
9,00:00:12.900,12900,00:00:14.300,14300,chunk10.wav,10549,"Memorial day weekend, Gavin what would you say, we spent about 15"
10,00:00:15.700,15700,00:00:16.250,16250,chunk11.wav,12181,"Geoff: to 20 hours making this? Gavin: Yeah, we were working"
11,00:00:16.800,16800,00:00:17.300,17300,chunk12.wav,7648,Gavin: very hard on Achievement City.
12,00:00:17.800,17800,00:00:18.200,18200,chunk13.wav,20424,Michael: I went to Six Flags.
13,00:00:18.600,18600,00:00:19.130,19130,chunk14.wav,9379,Jack: So we're going to Achievement City.
14,00:00:19.660,19660,00:00:20.220,20220,chunk15.wav,12213,Gavin: This is Geoff: Achievement City
15,00:00:20.940,20940,00:00:21.370,21370,chunk16.wav,12505,Geoff: this is our new base of operations
16,00:00:21.800,21800,00:00:22.570,22570,chunk17.wav,11604,Geoff: for all things Minecraft Jack: Why not Achievmentville
17,00:00:23.340,23340,00:00:23.850,23850,chunk18.wav,14597,Michael: It looks like a cloud
18,00:00:24.360,24360,00:00:24.810,24810,chunk19.wav,15588,because this is uh we we'll uh
19,00:00:25.260,25260,00:00:25.670,25670,chunk20.wav,5713,Geoff: live in the city Gavin: So we've been hard at work
20,00:00:26.080,26080,00:00:26.560,26560,chunk21.wav,11589,Jack: Bleep-bloopbopolis
21,00:00:27.040,27040,00:00:27.290,27290,chunk22.wav,12739,Geoff: I don't
22,00:00:27.540,27540,00:00:29.440,29440,chunk23.wav,9071,Gavin: We basically... We built the central area of the city and we built your houses
23,00:00:31.340,31340,00:00:31.729,31729,chunk24.wav,3937,Gavin: So I'm gonna give you a little tour
24,00:00:32.119,32119,00:00:32.429,32429,chunk25.wav,31776,Michael: [gasps] I have a house?
25,00:00:32.740,32740,00:00:34.020,34020,chunk26.wav,32767,Geoff: Everybody has a house Michael: Sweet! That's awesome!
26,00:00:35.300,35300,00:00:35.920,35920,chunk27.wav,12459,Gavin: Here we go this is... Jack: This cannot end well
27,00:00:36.560,36560,00:00:37.600,37600,chunk28.wav,10924,Gavin: Achievement City Michael: Holy shit
28,00:00:38.640,38640,00:00:39.420,39420,chunk29.wav,32564,Gavin: Oooooh look at that
29,00:00:40.200,40200,00:00:41.630,41630,chunk30.wav,29079,Michael: Ray should not live here Ray: No absolutey not Geoff: Well don't worry you'll see
30,00:00:43.060,43060,00:00:43.735,43735,chunk31.wav,27084,Michael: He's brown! Ray: No minorities allowed
31,00:00:44.410,44410,00:00:44.660,44660,chunk32.wav,4013,Jack: Is that the logo on the ground?
32,00:00:44.910,44910,00:00:45.910,45910,chunk33.wav,21605,Geoff: Yeah we'll get to that Gavin: That is the logo on the ground we'll show you afterwards
33,00:00:46.910,46910,00:00:47.260,47260,chunk34.wav,8388,Jack: Come on Michael: Whaaaaat
34,00:00:47.610,47610,00:00:48.390,48390,chunk35.wav,5898,Gavin: These are... This is the little uh area
35,00:00:49.170,49170,00:00:50.170,50170,chunk36.wav,32104,Michael: You guys have no lives! Geoff: Jack we'll start with you
