,start,start_ms,end,end_ms,file,volume,text
0,00:00:01.480,1480,00:00:04.100,4100,chunk1.wav,14558,so my guy my gu nice by the way yeah
1,00:00:04.120,4120,00:00:06.359,6359,chunk2.wav,17831,that's these guys are awesome yeah
2,00:00:06.720,6720,00:00:09.020,9020,chunk3.wav,17865,they're having fun yeah for you guys to
3,00:00:08.599,8599,00:00:11.959,11959,chunk4.wav,17121,sit here and be like wait minute let's
4,00:00:11.320,11320,00:00:14.740,14740,chunk5.wav,17121,bring it up and mock them up dude
5,00:00:15.320,15320,00:00:18.020,18020,chunk6.wav,18026,that's by by using them as an insult
6,00:00:18.160,18160,00:00:20.179,20179,chunk7.wav,15056,using we're using you no no I'm not
7,00:00:20.720,20720,00:00:22.579,22579,chunk8.wav,14684,being a victim I'm saying the jokes
8,00:00:22.199,22199,00:00:24.199,24199,chunk9.wav,15810,you're you're doing is not it's not like
9,00:00:24.439,24439,00:00:26.079,26079,chunk10.wav,16443,it's not PC that's not cool you know
10,00:00:26.199,26199,00:00:27.979,27979,chunk11.wav,17285,what's really great triggering you're
11,00:00:27.720,27720,00:00:29.619,29619,chunk12.wav,17285,making fun of These Guys these down synd
12,00:00:29.759,29759,00:00:31.739,31739,chunk13.wav,30521,dudes putting out Tik Tok videos what's
13,00:00:31.519,31519,00:00:33.919,33919,chunk14.wav,30923,up guys welcome back to the channel it's
14,00:00:33.719,33719,00:00:35.999,35999,chunk15.wav,31021,been a wild 24 hours I'll tell you what
15,00:00:36.320,36320,00:00:38.359,38359,chunk16.wav,31015,I haven't had much sleep but I still
16,00:00:38.280,38280,00:00:40.419,40419,chunk17.wav,30837,managed to crank out a fresh video for
17,00:00:40.399,40399,00:00:42.519,42519,chunk18.wav,30376,you guys so before we get started I want
18,00:00:42.559,42559,00:00:44.859,44859,chunk19.wav,30860,to make a massive shout out to my almost
19,00:00:44.640,44640,00:00:47.060,47060,chunk20.wav,30309,"75,000 subscribers I've seen your"
20,00:00:47.160,47160,00:00:49.420,49420,chunk21.wav,29019,comments I've received your emails you
21,00:00:49.480,49480,00:00:51.580,51580,chunk22.wav,31540,guys are absolute Legends but as you can
22,00:00:51.680,51680,00:00:53.939,53939,chunk23.wav,28216,imagine I can't say more than that right
23,00:00:53.680,53680,00:00:55.740,55740,chunk24.wav,30634,now and as frustrating as that is all I
24,00:00:56.199,56199,00:00:58.059,58059,chunk25.wav,30058,want to do is just get back to making
25,00:00:57.800,57800,00:00:59.560,59560,chunk26.wav,22857,videos so if you're new here make sure
26,00:00:59.920,59920,00:01:02.199,62199,chunk27.wav,30360,sure you hit that subscribe button
27,00:01:01.320,61320,00:01:04.120,64120,chunk28.wav,31289,because we're pushing for 100k subs and
28,00:01:04.479,64479,00:01:06.559,66559,chunk29.wav,31260,no one's going to stop us all right so
29,00:01:06.920,66920,00:01:08.560,68560,chunk30.wav,30703,with that said today we're going to go
30,00:01:08.640,68640,00:01:10.300,70300,chunk31.wav,24515,through the transformation of Shane
31,00:01:10.200,70200,00:01:12.080,72080,chunk32.wav,22257,Gillis through his three appearances on
32,00:01:11.960,71960,00:01:13.920,73920,chunk33.wav,28127,flagrant with Andrew Schultz I've
33,00:01:13.960,73960,00:01:15.740,75740,chunk34.wav,29754,previously covered Shane's most recent
34,00:01:15.880,75880,00:01:18.080,78080,chunk35.wav,27583,appearance on flagrant in my video
35,00:01:17.520,77520,00:01:19.780,79780,chunk36.wav,27670,titled when funny meets cringe but like
36,00:01:20.280,80280,00:01:22.300,82300,chunk37.wav,29300,I said this video here is going to look
37,00:01:22.040,82040,00:01:23.919,83919,chunk38.wav,25146,at all three of his flagrant appearances
38,00:01:24.320,84320,00:01:26.219,86219,chunk39.wav,28705,and I'm going to show you how Shane
39,00:01:25.799,85799,00:01:28.459,88459,chunk40.wav,24791,turned the tables on Andrew Schultz in
40,00:01:28.119,88119,00:01:31.259,91259,chunk41.wav,27753,the short space of only two years what
41,00:01:31.119,91119,00:01:34.359,94359,chunk42.wav,30246,started with this newly viral sensation
42,00:01:34.399,94399,00:01:37.639,97639,chunk43.wav,29512,Shane Gillis is in the building ended up
43,00:01:37.600,97600,00:01:40.539,100539,chunk44.wav,30210,like this I love SCH talk Schultz
44,00:01:40.880,100880,00:01:43.679,103679,chunk45.wav,16473,epiphanies are my favorite y he repeats
45,00:01:43.479,103479,00:01:46.299,106299,chunk46.wav,16480,his St that's crazy
46,00:01:46.479,106479,00:01:49.259,109259,chunk47.wav,30249,though and so the context here is really
47,00:01:49.119,109119,00:01:51.519,111519,chunk48.wav,30405,important back in 2019 Gillis was fired
48,00:01:52.040,112040,00:01:54.099,114099,chunk49.wav,30396,from Saturday Night Live before he'd had
49,00:01:53.920,113920,00:01:56.120,116120,chunk50.wav,28234,a chance to start working after a couple
50,00:01:56.159,116159,00:01:58.219,118219,chunk51.wav,29932,of videos resurfaced of him making
51,00:01:58.320,118320,00:02:00.460,120460,chunk52.wav,29577,supposedly offensive remarks about
52,00:02:00.280,120280,00:02:02.719,122719,chunk53.wav,30221,Chinese people on his podcast but it
53,00:02:02.600,122600,00:02:05.260,125260,chunk54.wav,29281,wasn't until almost 2 years later that
54,00:02:05.159,125159,00:02:07.299,127299,chunk55.wav,25316,he appeared for the first time on JRE
55,00:02:07.920,127920,00:02:09.740,129740,chunk56.wav,30304,that he really started to make his way
56,00:02:09.440,129440,00:02:11.680,131680,chunk57.wav,28576,back into the mainstream meanwhile
57,00:02:11.560,131560,00:02:14.140,134140,chunk58.wav,29682,Andrew schz had become insanely popular
58,00:02:13.920,133920,00:02:16.480,136480,chunk59.wav,23763,for his pandemic comedy skits in 2020
59,00:02:16.720,136720,00:02:19.260,139260,chunk60.wav,30861,which ended up on Netflix so here we
60,00:02:19.040,139040,00:02:21.319,141319,chunk61.wav,30174,have these two New York Comics schz only
61,00:02:21.800,141800,00:02:23.620,143620,chunk62.wav,29435,four years older than Shane but at the
62,00:02:23.599,143599,00:02:25.499,145499,chunk63.wav,30434,time he'd released three comedy specials
63,00:02:25.440,145440,00:02:27.240,147240,chunk64.wav,28810,and was working on his fourth whereas
64,00:02:27.400,147400,00:02:29.220,149220,chunk65.wav,26632,Shane had only just dropped his first
65,00:02:29.040,149040,00:02:31.459,151459,chunk66.wav,29022,comedy special 2 months after going on
66,00:02:31.040,151040,00:02:33.679,153679,chunk67.wav,31561,JRE and 1 month before his first
67,00:02:33.879,153879,00:02:36.779,156779,chunk68.wav,30182,appearance on flagrant now if we
68,00:02:36.319,156319,00:02:39.239,159239,chunk69.wav,30498,FasTrack to 2024 Gillis has two specials
69,00:02:39.680,159680,00:02:41.880,161880,chunk70.wav,30428,under his belt and Schulz has four
70,00:02:42.159,162159,00:02:44.299,164299,chunk71.wav,30366,except Shane's second special went
71,00:02:44.080,164080,00:02:46.240,166240,chunk72.wav,27140,straight to Netflix where as Schulz was
72,00:02:46.440,166440,00:02:48.360,168360,chunk73.wav,24124,forced to release his fourth special
73,00:02:48.400,168400,00:02:50.300,170300,chunk74.wav,30028,independently which I covered in a
74,00:02:50.280,170280,00:02:52.840,172840,chunk75.wav,21093,recent video titled the comedy special
75,00:02:52.200,172200,00:02:55.060,175060,chunk76.wav,30872,scam nobody's talking about so how did
76,00:02:55.400,175400,00:02:57.679,177679,chunk77.wav,30589,the tables turn on Schulz in favor of
77,00:02:57.920,177920,00:02:59.759,179759,chunk78.wav,29465,Gillis what's up everybody welcome
78,00:02:59.959,179959,00:03:03.159,183159,chunk79.wav,16200,flagrant too it's your boy Shelty I'm
79,00:03:01.599,181599,00:03:05.799,185799,chunk80.wav,16200,here with aash today we are joined by
80,00:03:06.360,186360,00:03:09.520,189520,chunk81.wav,8778,one of my favorite Comics working today
81,00:03:10.000,190000,00:03:12.460,192460,chunk82.wav,15116,uh absolutely hilarious y yep
82,00:03:12.680,192680,00:03:15.400,195400,chunk83.wav,11671,newly I don't want to you you were
83,00:03:14.920,194920,00:03:17.619,197619,chunk84.wav,16509,already famous but now you're famous for
84,00:03:18.120,198120,00:03:20.520,200520,chunk85.wav,16541,a good reason the right reason the right
85,00:03:20.319,200319,00:03:23.219,203219,chunk86.wav,15024,reason newly viral sensation Shane
86,00:03:22.920,202920,00:03:26.340,206340,chunk87.wav,19303,Gillis is in the building doing his 20th
87,00:03:26.120,206120,00:03:28.600,208600,chunk88.wav,18575,podcast in the last week you probably
88,00:03:29.760,209760,00:03:31.539,211539,chunk89.wav,28909,heard there Schult saying this was
89,00:03:31.080,211080,00:03:33.180,213180,chunk90.wav,30000,Shane's 20th podcast appearance in the
90,00:03:33.319,213319,00:03:35.339,215339,chunk91.wav,30977,past week and that's because he just
91,00:03:35.280,215280,00:03:37.439,217439,chunk92.wav,30254,released his first special like I said
92,00:03:37.360,217360,00:03:39.720,219720,chunk93.wav,30403,before and he was doing the podcast
93,00:03:39.599,219599,00:03:42.399,222399,chunk94.wav,30104,rounds after Rogan anointed him a chosen
94,00:03:42.080,222080,00:03:44.680,224680,chunk95.wav,30696,one earlier that year in July and so
95,00:03:45.200,225200,00:03:47.340,227340,chunk96.wav,27589,came the accusations from Schulz and his
96,00:03:47.280,227280,00:03:49.480,229480,chunk97.wav,28545,boy band that Gillis was low energy in
97,00:03:49.480,229480,00:03:51.840,231840,chunk98.wav,30353,that podcast he wasn't being funny they
98,00:03:51.680,231680,00:03:53.760,233760,chunk99.wav,31192,had to do all the heavy lifting Etc but
99,00:03:54.200,234200,00:03:56.200,236200,chunk100.wav,27035,one of the things you need to know about
100,00:03:55.840,235840,00:03:57.859,237859,chunk101.wav,27261,Shane which he's quite open about is
101,00:03:58.200,238200,00:04:00.139,240139,chunk102.wav,29606,that he has some relatives with with
102,00:03:59.879,239879,00:04:01.999,241999,chunk103.wav,32426,Down syndrome and I know that's a random
103,00:04:02.079,242079,00:04:03.899,243899,chunk104.wav,23955,piece of information right now but he's
104,00:04:04.120,244120,00:04:06.060,246060,chunk105.wav,25700,used it for years as a source of
105,00:04:05.720,245720,00:04:08.040,248040,chunk106.wav,28498,material even in his latest special
106,00:04:08.000,248000,00:04:10.180,250180,chunk107.wav,26951,where he had a long bit about his uncle
107,00:04:10.360,250360,00:04:12.140,252140,chunk108.wav,26845,so this is something that has popped up
108,00:04:12.360,252360,00:04:13.839,253839,chunk109.wav,30542,a couple of times on the flagrant
109,00:04:13.920,253920,00:04:15.480,255480,chunk110.wav,30394,podcast starting with his first
110,00:04:15.319,255319,00:04:17.459,257459,chunk111.wav,27839,appearance they were talking about a
111,00:04:17.040,257040,00:04:19.080,259080,chunk112.wav,26268,couple of Netflix reality TV shows I
112,00:04:19.600,259600,00:04:21.119,261119,chunk113.wav,22427,think one of them is called love on the
113,00:04:21.120,261120,00:04:23.040,263040,chunk114.wav,31104,Spectrum I've never watched them it's
114,00:04:22.639,262639,00:04:24.739,264739,chunk115.wav,30536,not really my thing but here's how it
115,00:04:24.960,264960,00:04:26.840,266840,chunk116.wav,24534,went down Mark has been trying to get me
116,00:04:26.840,266840,00:04:28.980,268980,chunk117.wav,7075,to watch this show for at least maybe
117,00:04:28.720,268720,00:04:30.739,270739,chunk118.wav,11349,two months a year a year okay a year
118,00:04:31.120,271120,00:04:33.659,273659,chunk119.wav,14064,literally a year it's the best show on
119,00:04:32.759,272759,00:04:35.659,275659,chunk120.wav,16517,Netflix yeah squid game but here's the
120,00:04:36.199,276199,00:04:38.239,278239,chunk121.wav,12576,thing with the show I think if you don't
121,00:04:38.560,278560,00:04:40.239,280239,chunk122.wav,5856,know anybody who has Down syndrome you
122,00:04:40.280,280280,00:04:42.260,282260,chunk123.wav,16906,just feel bad for them constant no you
123,00:04:41.919,281919,00:04:43.639,283639,chunk124.wav,11659,don't if you don't know people with it
124,00:04:44.240,284240,00:04:45.719,285719,chunk125.wav,16909,and then you watch the show and then
125,00:04:45.360,285360,00:04:47.220,287220,chunk126.wav,16909,you're like you know like the perception
126,00:04:47.199,287199,00:04:48.859,288859,chunk127.wav,9339,is oh my God this is so tragic that
127,00:04:49.080,289080,00:04:50.540,290540,chunk128.wav,11976,these parents have to raise and then you
128,00:04:50.520,290520,00:04:52.840,292840,chunk129.wav,16775,watch and it's like oh they're the most
129,00:04:52.000,292000,00:04:55.280,295280,chunk130.wav,16775,fun ever everybody enjoys it yes I don't
130,00:04:55.160,295160,00:04:57.679,297679,chunk131.wav,10658,want to say golden retriever but the
131,00:04:58.560,298560,00:05:00.620,300620,chunk132.wav,17558,same energy
132,00:05:00.199,300199,00:05:02.259,302259,chunk133.wav,17716,just wait really yeah I was I was doing
133,00:05:02.680,302680,00:05:04.219,304219,chunk134.wav,15251,a joke about uh people Downs just like
134,00:05:04.320,304320,00:05:06.420,306420,chunk135.wav,16900,having a dog he does stand up on the
135,00:05:05.759,305759,00:05:08.279,308279,chunk136.wav,16900,spot people with Autism is like a cat
136,00:05:08.520,308520,00:05:11.060,311060,chunk137.wav,19245,like you think they like you they walk
137,00:05:10.800,310800,00:05:13.340,313340,chunk138.wav,19245,out of the room I love cats cats are
138,00:05:13.600,313600,00:05:16.580,316580,chunk139.wav,17436,great I'm not trash in autism but a lab
139,00:05:15.880,315880,00:05:18.899,318899,chunk140.wav,18141,or like a a Down syndrome person
140,00:05:19.560,319560,00:05:21.299,321299,chunk141.wav,17345,lab Down syndrome is like you're like yo
141,00:05:21.919,321919,00:05:23.719,323719,chunk142.wav,17924,you want to go outside they're like
142,00:05:23.039,323039,00:05:26.119,326119,chunk143.wav,18216,let's go yes it's just positive energy
143,00:05:25.520,325520,00:05:28.219,328219,chunk144.wav,17267,happiness all the time yes dude and so
144,00:05:29.199,329199,00:05:31.079,331079,chunk145.wav,9650,so just this weird thing like cuz you
145,00:05:30.919,330919,00:05:32.959,332959,chunk146.wav,8592,see people like post post them on Tik
146,00:05:32.960,332960,00:05:34.639,334639,chunk147.wav,15871,Tok like parents and like brothers and
147,00:05:35.000,335000,00:05:36.620,336620,chunk148.wav,13863,like that will post them on Tik Tok and
148,00:05:36.319,336319,00:05:38.199,338199,chunk149.wav,8647,you think they're kind of exploiting
149,00:05:38.240,338240,00:05:40.079,340079,chunk150.wav,14125,exploiting them but I really think
150,00:05:40.080,340080,00:05:42.199,342199,chunk151.wav,6298,they're going this person brings me so
151,00:05:41.919,341919,00:05:44.259,344259,chunk152.wav,14575,much joy yeah I need to share the joy a
152,00:05:44.319,344319,00:05:47.219,347219,chunk153.wav,11555,bit yes right so now should we feel way
153,00:05:46.600,346600,00:05:49.980,349980,chunk154.wav,13154,better about watching the videos yeah I
154,00:05:50.120,350120,00:05:53.340,353340,chunk155.wav,15796,guess cuz that's Al's thing yeah you
155,00:05:53.360,353360,00:05:55.960,355960,chunk156.wav,17040,like watching you like seeing a guy with
156,00:05:56.560,356560,00:05:58.439,358439,chunk157.wav,16446,form but they're trying to be funny no
157,00:05:58.560,358560,00:06:00.659,360659,chunk158.wav,15115,no no that's true you like to see them
158,00:06:00.319,360319,00:06:02.379,362379,chunk159.wav,16693,perform yeah has to be they have to be
159,00:06:02.759,362759,00:06:04.919,364919,chunk160.wav,10199,doing like a a song it has to be like
160,00:06:04.440,364440,00:06:07.080,367080,chunk161.wav,16658,Chris Brown or something like that
161,00:06:07.080,367080,00:06:09.480,369480,chunk162.wav,18495,absolutely absolutely and then try to
162,00:06:09.720,369720,00:06:11.659,371659,chunk163.wav,17597,dance like him too see the you know what
163,00:06:11.880,371880,00:06:13.679,373679,chunk164.wav,17676,gets out every time can I tell you what
164,00:06:13.599,373599,00:06:15.099,375099,chunk165.wav,16993,gets out every time this what is at the
165,00:06:15.479,375479,00:06:17.139,377139,chunk166.wav,8825,end of it when they just stick the
166,00:06:16.599,376599,00:06:17.699,377699,chunk167.wav,10334,tongue
167,00:06:22.199,382199,00:06:25.299,385299,chunk168.wav,17689,out I've got it I've got it
168,00:06:25.580,385580,00:06:28.510,388510,chunk169.wav,19447,[Laughter]
169,00:06:28.400,388400,00:06:31.079,391079,chunk170.wav,16722,down see I'm tell that's great I got to
170,00:06:31.440,391440,00:06:33.519,393519,chunk171.wav,17542,I got to watch it now you so you so you
171,00:06:33.759,393759,00:06:35.539,395539,chunk172.wav,30325,can see how it was all pretty playful
172,00:06:35.599,395599,00:06:37.259,397259,chunk173.wav,31025,everyone was having a laugh Gillis
173,00:06:37.319,397319,00:06:39.039,399039,chunk174.wav,30305,pulled out his impression which he's
174,00:06:38.919,398919,00:06:40.739,400739,chunk175.wav,30236,become really good at you can see his
175,00:06:40.759,400759,00:06:42.939,402939,chunk176.wav,27972,full bit on his latest special beautiful
176,00:06:42.560,402560,00:06:44.879,404879,chunk177.wav,30557,dogs okay cool then so nothing really to
177,00:06:45.120,405120,00:06:47.359,407359,chunk178.wav,26539,see here just some dude sitting around
178,00:06:47.199,407199,00:06:49.279,409279,chunk179.wav,30763,having a laugh but this will come up
179,00:06:49.599,409599,00:06:51.859,411859,chunk180.wav,19188,again in his second appearance on
180,00:06:51.360,411360,00:06:53.580,413580,chunk181.wav,23982,flagrant almost exactly one year later
181,00:06:54.120,414120,00:06:56.519,416519,chunk182.wav,30629,in October of
182,00:06:55.800,415800,00:06:58.180,418180,chunk183.wav,29262,2022 and things would be different then
183,00:06:58.919,418919,00:07:00.999,420999,chunk184.wav,30061,now things things have already started
184,00:07:00.560,420560,00:07:02.939,422939,chunk185.wav,26645,to change even only in the year that has
185,00:07:03.080,423080,00:07:05.380,425380,chunk186.wav,27720,passed Gillis keeps getting more and
186,00:07:05.319,425319,00:07:07.359,427359,chunk187.wav,29366,more popular he's a lot more confident
187,00:07:07.680,427680,00:07:09.859,429859,chunk188.wav,23243,now especially after having six
188,00:07:09.400,429400,00:07:11.659,431659,chunk189.wav,22241,appearances on JRE under his belt he's
189,00:07:12.039,432039,00:07:14.019,434019,chunk190.wav,28739,become a regular on protect our parks
190,00:07:13.919,433919,00:07:15.939,435939,chunk191.wav,26328,with Irish air and Mark Norman but
191,00:07:16.000,436000,00:07:17.900,437900,chunk192.wav,30280,Schultz's comedy career while still
