,start,start_ms,end,end_ms,file,volume,text
0,00:00:00.160,160,00:00:02.380,2380,chunk1.wav,27076,ladies and gentlemen I present to you
1,00:00:03.639,3639,00:00:06.599,6599,chunk2.wav,27678,the
2,00:00:04.600,4600,00:00:10.400,10400,chunk3.wav,30391,current truly the real president of the
3,00:00:09.559,9559,00:00:12.879,12879,chunk4.wav,32218,United States of America this is Joe
4,00:00:17.280,17280,00:00:19.209,19209,chunk5.wav,32391,[Music]
5,00:00:24.200,24200,00:00:25.740,25740,chunk6.wav,30321,[Music]
6,00:00:28.160,28160,00:00:31.080,31080,chunk7.wav,32767,Biden you can do better than that make
7,00:00:30.519,30519,00:00:32.259,32259,chunk8.wav,32767,some goddamn noise for your
8,00:00:37.680,37680,00:00:40.959,40959,chunk9.wav,32767,president no Joe this way this is it
9,00:00:40.280,40280,00:00:43.920,43920,chunk10.wav,32767,over here Joe Joe
10,00:00:44.239,44239,00:00:48.289,48289,chunk11.wav,32767,no Joe over here
11,00:00:47.560,47560,00:00:49.950,49950,chunk12.wav,32696,[Music]
12,00:00:53.220,53220,00:00:56.385,56385,chunk13.wav,32111,[Applause]
13,00:00:53.750,53750,00:00:58.250,58250,chunk14.wav,32360,[Music]
14,00:00:59.550,59550,00:01:01.150,61150,chunk15.wav,32767,[Applause]
15,00:01:04.530,64530,00:01:06.045,66045,chunk16.wav,32689,[Music]
16,00:01:05.110,65110,00:01:08.735,68735,chunk17.wav,32767,[Applause]
17,00:01:07.560,67560,00:01:09.960,69960,chunk18.wav,32767,wow oh my
18,00:01:12.920,72920,00:01:16.780,76780,chunk19.wav,32767,God
19,00:01:15.920,75920,00:01:18.280,78280,chunk20.wav,24915,unbelievable this my fellow
20,00:01:20.720,80720,00:01:22.939,82939,chunk21.wav,19356,Americans I want to I want to thank you
21,00:01:23.439,83439,00:01:25.939,85939,chunk22.wav,23509,for allowing me to be the first black
22,00:01:25.159,85159,00:01:27.759,87759,chunk23.wav,22389,woman president to run this
23,00:01:28.439,88439,00:01:30.479,90479,chunk24.wav,25392,country quick shout shout out to the
24,00:01:30.360,90360,00:01:32.559,92559,chunk25.wav,23894,moderators in the back for keeping this
25,00:01:32.520,92520,00:01:35.380,95380,chunk26.wav,26861,debate going there's no moderators Joe
26,00:01:34.759,94759,00:01:37.539,97539,chunk27.wav,28759,you're on kill Tony huh is anybody told
27,00:01:38.240,98240,00:01:43.785,103785,chunk28.wav,31698,you where you're at
28,00:01:40.320,100320,00:01:46.039,106039,chunk29.wav,31698,[Laughter]
29,00:01:49.330,109330,00:01:52.364,112364,chunk30.wav,27285,[Applause]
30,00:01:51.759,111759,00:01:54.619,114619,chunk31.wav,28277,tonight Ryan Redban Brian Redban
31,00:01:55.399,115399,00:01:58.619,118619,chunk32.wav,28359,everybody how the hell do you know who
32,00:01:57.479,117479,00:01:59.659,119659,chunk33.wav,28359,Brian Redban is I follow him on Facebook
33,00:02:02.439,122439,00:02:04.659,124659,chunk34.wav,23819,post a lot of butthole pictures all
34,00:02:05.360,125360,00:02:07.620,127620,chunk35.wav,16609,right
35,00:02:06.880,126880,00:02:08.380,128380,chunk36.wav,29675,W
36,00:02:12.599,132599,00:02:15.519,135519,chunk37.wav,30509,so oh my
37,00:02:15.340,135340,00:02:17.929,137929,chunk38.wav,17926,[Music]
38,00:02:18.440,138440,00:02:20.780,140780,chunk39.wav,29524,God
39,00:02:20.519,140519,00:02:23.279,143279,chunk40.wav,19490,okay oh here we
40,00:02:23.120,143120,00:02:26.400,146400,chunk41.wav,23024,go how are we America we feeling good
41,00:02:26.040,146040,00:02:27.860,147860,chunk42.wav,22965,how we feeling America
42,00:02:30.200,150200,00:02:32.719,152719,chunk43.wav,25872,[ __ ] is wild out there for you right now
43,00:02:33.200,153200,00:02:34.719,154719,chunk44.wav,24327,coming off of wild wild times we're
44,00:02:35.239,155239,00:02:37.119,157119,chunk45.wav,21425,doing it we're doing it though we're
45,00:02:36.239,156239,00:02:38.999,158999,chunk46.wav,21425,doing we we we do
46,00:02:39.000,159000,00:02:41.780,161780,chunk47.wav,28434,we what we did what we did when we and
47,00:02:41.760,161760,00:02:44.300,164300,chunk48.wav,22677,we for the co what we did for Co that's
48,00:02:44.560,164560,00:02:46.399,166399,chunk49.wav,21058,right when we did for we beat we be and
49,00:02:46.840,166840,00:02:48.960,168960,chunk50.wav,18585,that's why we do it that's what that's
50,00:02:48.239,168239,00:02:51.279,171279,chunk51.wav,30263,what we we beat
51,00:02:51.080,171080,00:02:53.760,173760,chunk52.wav,25752,Medicare wow we took our Medicare plus
52,00:02:54.319,174319,00:02:56.919,176919,chunk53.wav,31352,and Megatron
53,00:02:56.440,176440,00:02:59.060,179060,chunk54.wav,23713,and the rest of the GI Joe Bangarang
54,00:02:59.519,179519,00:03:01.159,181159,chunk55.wav,21917,hook
55,00:03:01.680,181680,00:03:04.580,184580,chunk56.wav,22117,look I'll tell you something I was when
56,00:03:02.800,182800,00:03:05.140,185140,chunk57.wav,20312,I was 10 years old I used to ride a
57,00:03:08.920,188920,00:03:11.359,191359,chunk58.wav,21613,bike we had all sorts of bikes back then
58,00:03:11.200,191200,00:03:13.620,193620,chunk59.wav,21823,we had wheel get this liquid death
59,00:03:13.799,193799,00:03:15.959,195959,chunk60.wav,28702,away you already have enough Death
60,00:03:16.040,196040,00:03:18.779,198779,chunk61.wav,27053,Around you Mr President we're going to
61,00:03:18.120,198120,00:03:19.819,199819,chunk62.wav,22436,yeah I can't have water after 400
62,00:03:22.080,202080,00:03:25.240,205240,chunk63.wav,24827,p.m. oh hey
