,start,start_ms,end,end_ms,file,volume,text
0,00:00:00.000,0,00:00:00.967,967,chunk1.wav,15461,"Sup, you beautiful bastards."
1,00:00:01.935,1935,00:00:02.719,2719,chunk2.wav,14931,Welcome back to the Philip DeFranco show.
2,00:00:03.503,3503,00:00:04.270,4270,chunk3.wav,13651,You daily dive into the news.
3,00:00:05.038,5038,00:00:06.055,6055,chunk4.wav,13963,And we have a lot to talk about today.
4,00:00:07.073,7073,00:00:07.890,7890,chunk5.wav,15230,"you just buckle up, you hit that, like, button,"
5,00:00:08.708,8708,00:00:09.942,9942,chunk6.wav,14153,let YouTube know you'll have these big daily dives into the news.
6,00:00:11.177,11177,00:00:11.844,11844,chunk7.wav,15359,And let's jump into it.
7,00:00:12.512,12512,00:00:14.013,14013,chunk8.wav,23391,This is a new issue.
8,00:00:17.550,17550,00:00:18.668,18668,chunk9.wav,14665,we've got to talk about our douche bag of the day.
9,00:00:19.786,19786,00:00:20.954,20954,chunk10.wav,16801,32 year old woman by the name of Jessica Jones.
10,00:00:22.122,22122,00:00:22.922,22922,chunk11.wav,14784,because like a wolf in sheep's clothing.
11,00:00:23.723,23723,00:00:25.208,25208,chunk12.wav,13262,"She presented herself as nothing more than a worried, caring mother."
12,00:00:26.693,26693,00:00:27.210,27210,chunk13.wav,12788,bringing their four year old daughter
13,00:00:27.727,27727,00:00:29.512,29512,chunk14.wav,12560,"to the emergency room in 2022, saying the girl had chronic seizures."
14,00:00:31.398,31398,00:00:31.631,31631,chunk15.wav,14078,the key thing
15,00:00:31.865,31865,00:00:33.516,33516,chunk16.wav,13334,there is that this was her fourth visit to the ER for similar symptoms.
16,00:00:35.168,35168,00:00:36.069,36069,chunk17.wav,14417,"and oddly, while she was there, Jones allegedly"
17,00:00:36.970,36970,00:00:38.054,38054,chunk18.wav,13405,accompanied her daughter to the bathroom multiple times
18,00:00:39.139,39139,00:00:40.457,40457,chunk19.wav,13386,per day and carried her purse in with her each time.
19,00:00:41.775,41775,00:00:42.058,42058,chunk20.wav,16047,then what?
20,00:00:42.342,42342,00:00:43.293,43293,chunk21.wav,12834,"You know, at strangely, about an hour after each"
21,00:00:44.244,44244,00:00:45.261,45261,chunk22.wav,14527,"trip to the bathroom, her daughter suffered full body"
22,00:00:46.279,46279,00:00:47.864,47864,chunk23.wav,13628,"tremors, her heart beating rapidly, and she couldn't stand on her own."
23,00:00:49.449,49449,00:00:50.333,50333,chunk24.wav,13949,All of which pointed to Benadryl poisoning.
24,00:00:51.217,51217,00:00:52.568,52568,chunk25.wav,15909,"And sure enough, her urine test came back positive for Benadryl."
25,00:00:53.920,53920,00:00:55.004,55004,chunk26.wav,16277,so then you had the hospital staff calling the sheriff's office.
26,00:00:56.089,56089,00:00:56.589,56589,chunk27.wav,11681,"And according to the detective,"
27,00:00:57.090,57090,00:00:58.274,58274,chunk28.wav,14698,she confessed to giving her daughter not only Benadryl.
28,00:00:59.459,59459,00:01:00.610,60610,chunk29.wav,14822,but also trazodone and hydrazine All of which.
29,00:01:01.761,61761,00:01:03.012,63012,chunk30.wav,13256,"I mean, it could have resulted in a coma or even death."
30,00:01:04.264,64264,00:01:04.831,64831,chunk31.wav,14294,and it wasn't just that daughter.
31,00:01:05.398,65398,00:01:06.733,66733,chunk32.wav,14894,She allegedly poisoned all five of her children
32,00:01:08.068,68068,00:01:08.985,68985,chunk33.wav,15728,investigators saying that she tried to convince doctors.
33,00:01:09.903,69903,00:01:10.920,70920,chunk34.wav,13347,Another one of her kids had seizures for years.
34,00:01:11.938,71938,00:01:12.655,72655,chunk35.wav,13604,she also it posted on social media
35,00:01:13.373,73373,00:01:14.507,74507,chunk36.wav,13342,that different kids had cancer and then deleted it.
36,00:01:15.642,75642,00:01:16.526,76526,chunk37.wav,13426,"and she claimed that her two year old son was autistic,"
37,00:01:17.410,77410,00:01:17.844,77844,chunk38.wav,12005,which detectives claimed
38,00:01:18.278,78278,00:01:19.879,79879,chunk39.wav,12932,"was too young for a diagnosis, though it is unclear whether that's true or not."
39,00:01:21.481,81481,00:01:22.982,82982,chunk40.wav,14244,Jones's estranged husband telling CBS news that she had him fooled
40,00:01:24.484,84484,00:01:25.718,85718,chunk41.wav,15074,to having convinced him that their children had epilepsy.
41,00:01:26.953,86953,00:01:28.438,88438,chunk42.wav,11612,youngest one was kept getting worse and kept getting worse.
42,00:01:29.923,89923,00:01:30.607,90607,chunk43.wav,9448,"And as a parent, I was like, hey,"
43,00:01:32.258,92258,00:01:33.209,93209,chunk44.wav,9769,"when he did the doctors, she figure something out."
44,00:01:34.160,94160,00:01:34.977,94977,chunk45.wav,11408,"You know, I thought I was losing my daughter."
45,00:01:35.795,95795,00:01:36.295,96295,chunk46.wav,10435,That's what it felt like.
46,00:01:36.796,96796,00:01:37.763,97763,chunk47.wav,15292,"so after her confession to the police,"
47,00:01:38.731,98731,00:01:40.283,100283,chunk48.wav,13729,"she reportedly broke down, saying, I think I'm a horrible person."
48,00:01:41.835,101835,00:01:42.402,102402,chunk49.wav,12669,I don't love myself.
49,00:01:42.969,102969,00:01:43.619,103619,chunk50.wav,13100,I don't like who I am.
50,00:01:44.270,104270,00:01:45.154,105154,chunk51.wav,12905,I'm tired of living life like this.
51,00:01:46.039,106039,00:01:46.706,106706,chunk52.wav,13863,I'm tired of hurting people.
52,00:01:47.373,107373,00:01:48.291,108291,chunk53.wav,12869,"I don't know, I really don't."
53,00:01:49.209,109209,00:01:50.276,110276,chunk54.wav,16338,"but regardless of what she had to say, she was arrested"
54,00:01:51.344,111344,00:01:52.829,112829,chunk55.wav,14494,and then released on bond on the condition that she stay away from the children.
55,00:01:54.314,114314,00:01:54.430,114430,chunk56.wav,3715,and back.
56,00:01:54.547,114547,00:01:54.747,114747,chunk57.wav,14082,"In January,"
57,00:01:54.948,114948,00:01:56.683,116683,chunk58.wav,13128,she pled guilty to injuring a child in abandoning or endangering a child.
